RPC failed: [Errno socket error] [Errno 111] Connection refused
catch_up_rpc: abort
Opened /home/joseph/.AuroraCoin/blk0001.dat
block_tx 93049 435977
block_tx 93050 435978
block_tx 93051 435979
block_tx 93052 435980
block_tx 93053 435981
block_tx 93053 435982
block_tx 93054 435983
block_tx 93054 435984
block_tx 93055 435985
block_tx 93055 435986
block_tx 93055 435987
block_tx 93055 435988
block_tx 93056 435989
block_tx 93057 435990
block_tx 93058 435991
block_tx 93059 435992
block_tx 93060 435993
block_tx 93061 435994
block_tx 93062 435995
block_tx 93063 435996
block_tx 93064 435997
block_tx 93065 435998
block_tx 93066 435999
block_tx 93067 436000
block_tx 93067 436001
block_tx 93068 436002
block_tx 93069 436003
block_tx 93070 436004
block_tx 93071 436005
block_tx 93072 436006
block_tx 93072 436007
block_tx 93073 436008
block_tx 93074 436009
block_tx 93075 436010
block_tx 93076 436011
block_tx 93076 436012
block_tx 93077 436013
block_tx 93078 436014
block_tx 93079 436015
block_tx 93080 436016
block_tx 93080 436017
block_tx 93081 436018
block_tx 93082 436019
block_tx 93083 436020
block_tx 93084 436021
block_tx 93085 436022
block_tx 93086 436023
block_tx 93086 436024
block_tx 93087 436025
block_tx 93088 436026
block_tx 93089 436027
block_tx 93089 436028
block_tx 93089 436029
block_tx 93089 436030
block_tx 93090 436031
block_tx 93090 436032
block_tx 93091 436033
block_tx 93092 436034
block_tx 93093 436035
block_tx 93094 436036
block_tx 93095 436037
block_tx 93096 436038
block_tx 93097 436039
block_tx 93098 436040
block_tx 93099 436041
block_tx 93100 436042
block_tx 93101 436043
block_tx 93101 436044
block_tx 93102 436045
block_tx 93103 436046
block_tx 93103 436047
block_tx 93103 436048
block_tx 93103 436049
block_tx 93104 436050
block_tx 93105 436051
block_tx 93106 436052
block_tx 93107 436053
block_tx 93108 436054
block_tx 93109 436055
block_tx 93110 436056
block_tx 93111 436057
block_tx 93112 436058
block_tx 93113 436059
block_tx 93114 436060
block_tx 93115 436061
block_tx 93116 436062
block_tx 93117 436063
block_tx 93118 436064
block_tx 93118 436065
block_tx 93118 436066
block_tx 93118 436067
block_tx 93119 436068
block_tx 93120 436069
block_tx 93121 436070
block_tx 93122 436071
commit
block_tx 93123 436072
block_tx 93124 436073
block_tx 93125 436074
block_tx 93126 436075
block_tx 93127 436076
block_tx 93128 436077
block_tx 93128 436078
block_tx 93129 436079
block_tx 93129 436080
block_tx 93130 436081
block_tx 93131 436082
block_tx 93132 436083
block_tx 93132 436084
block_tx 93132 436085
block_tx 93132 436086
block_tx 93132 436087
block_tx 93133 436088
block_tx 93134 436089
block_tx 93135 436090
block_tx 93136 436091
block_tx 93137 436092
block_tx 93138 436093
block_tx 93139 436094
block_tx 93140 436095
block_tx 93140 436096
block_tx 93141 436097
block_tx 93142 436098
block_tx 93143 436099
block_tx 93143 436100
block_tx 93144 436101
block_tx 93145 436102
block_tx 93145 436103
block_tx 93146 436104
block_tx 93147 436105
block_tx 93148 436106
block_tx 93149 436107
block_tx 93150 436108
block_tx 93151 436109
block_tx 93152 436110
block_tx 93153 436111
